												
Year	Date Event Began	Time Event Began	Date of Restoration	Time of Restoration	Area Affected	NERC Region	Alert Criteria	Event Type	Demand Loss (MW)	Number Affected		
2010	2010-01-06	18:00	2010-01-08	18:00	Southwest Louisiana	SERC	\N	Made Public Appeals	\N	\N		
2010	2010-01-11	3:45	2010-01-11	9:57	Northern and Central Florida	FRCC/SERC	\N	Interruptible Load Shed/Made Public Appeals	\N	\N		
2010	2010-02-19	20:30	2010-02-20	4:01	"San Joaquin Field Division/Bakersfield, CA"	WECC	\N	Firm System Load Shed	1000	\N		
2010	2010-03-31	23:59	2010-04-01	0:38	San Diego	WECC	\N	Shed Firm Load	324	\N		
2010	2010-04-21	15:05	2010-04-21	20:00	"Iberville, Parish, Louisiana"	SERC	\N	Generator Tripped	\N	\N		
2010	2010-05-18	8:15	2010-05-18	22:46	Central California	WECC	\N	Breakers Tripped	318	\N		
2010	2010-05-26	11:45	2010-05-26	15:00	"Maryland, Pennsylvania, West Virginia, Virginia"	"RFC, SERC"	\N	Made Public Appeal - System Drill	\N	\N		
2010	2010-06-16	11:11	2010-06-16	11:32	New York (Rockland and Orange Counties)	NPCC	\N	Voltage Reduction (System Test)	\N	\N		
2010	2010-06-17	8:30	2010-06-17	17:47	"Morgan City, LA"	SPP	\N	Made Public Appeal	\N	\N		
2010	2010-06-17	9:30	2010-06-17	17:17	Southern Louisiana	SERC	\N	Made Public Appeal	\N	\N		
2010	2010-06-17	9:30	2010-06-17	16:40	Southern Louisiana	SERC	\N	Made Public Appeal	\N	\N		
2010	2010-06-17	9:30	2010-06-17	16:40	Southwestern Louisiana	SPP	\N	Made Public Appeal	\N	\N		
2010	2010-06-17	10:49	2010-06-17	11:02	Eastern Montana	MRO	\N	Electrical System Separation	\N	\N		
2010	2010-06-25	23:36	2010-06-26	1:38	Northern California	WECC	\N	Electrical System Separation	\N	\N		
2010	2010-07-23	10:00	2010-07-24	23:55	Northern Utah	WECC	\N	Made Public Appeals	40702	\N		
2010	2010-07-29	18:39	2010-07-29	19:26	Southern California	WECC	\N	"Shed Interruptible Load, Wildfire"	522	\N		
2010	2010-07-29	18:39	2010-07-29	19:26	Southern California	WECC	\N	"Shed Interruptible Load, Wildfire"	522	\N		
2010	2010-08-02	12:00	2010-08-02	23:00	Central California	WECC	\N	Fuel Supply Deficiency (Hydro)	\N	\N		
2010	2010-08-02	12:45	2010-08-04	11:00	Southern Louisiana	SERC	\N	Made Public Appeals	\N	\N		
2010	2010-08-02	12:45	2010-08-04	11:00	Southern Louisiana	SERC	\N	Made Public Appeals	\N	\N		
